year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,airline
2022,1,1,1021,1009,12,1731,1725,6,AS,188,N278AK,SEA,CVG,227,1965,10,9,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1021,1005,16,1802,1758,4,AS,383,N273AK,SEA,IAD,263,2306,10,5,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1023,1025,-2,1251,1255,-4,AS,332,N587AS,SEA,BUR,120,937,10,25,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1024,1020,4,1108,1119,-11,QX,766,N646QX,SEA,PDX,27,129,10,20,2022-01-01T10:00:00Z,Horizon Air
2022,1,1,1024,1000,24,1236,1232,4,AS,427,N428AS,SEA,LAS,114,867,10,0,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1025,1015,10,1735,1735,0,AS,286,N298AK,SEA,DTW,222,1927,10,15,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1029,925,64,1801,1705,56,DL,352,N845DN,SEA,ATL,248,2182,9,25,2022-01-01T09:00:00Z,Delta Air Lines Inc.
2022,1,1,1032,1030,2,1206,1220,-14,UA,508,N4888U,PDX,SFO,80,550,10,30,2022-01-01T10:00:00Z,United Air Lines Inc.
2022,1,1,1040,1023,17,1649,1629,20,AS,369,N253AK,SEA,ORD,218,1721,10,23,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1041,1035,6,1851,1845,6,AS,256,N413AS,SEA,EWR,274,2402,10,35,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1043,1020,23,1602,1535,27,WN,513,N928WN,PDX,MCI,176,1482,10,20,2022-01-01T10:00:00Z,Southwest Airlines Co.
2022,1,1,1044,1045,-1,1404,1415,-11,WN,206,N745SW,PDX,PHX,125,1009,10,45,2022-01-01T10:00:00Z,Southwest Airlines Co.
2022,1,1,1051,1055,-4,1807,1830,-23,AS,158,N274AK,SEA,PIT,235,2125,10,55,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1051,1045,6,1555,1559,-4,AS,238,N303AS,SEA,OMA,164,1368,10,45,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1114,1116,-2,1207,1230,-23,DL,475,N399DA,SEA,GEG,36,224,11,16,2022-01-01T11:00:00Z,Delta Air Lines Inc.
2022,1,1,1116,1120,-4,1216,1230,-14,QX,626,N434MK,SEA,PUW,44,250,11,20,2022-01-01T11:00:00Z,Horizon Air
2022,1,1,1118,1057,21,1749,1730,19,AS,287,N294AK,SEA,MSY,248,2086,10,57,2022-01-01T10:00:00Z,Alaska Airlines Inc.
2022,1,1,1122,1125,-3,1454,1452,2,UA,387,N890UA,PDX,DEN,126,991,11,25,2022-01-01T11:00:00Z,United Air Lines Inc.
2022,1,1,1124,1017,67,1334,1242,52,OO,1025,N275SY,SEA,BOI,55,399,10,17,2022-01-01T10:00:00Z,SkyWest Airlines Inc.
2022,1,1,1124,1120,4,1212,1229,-17,DL,854,N3743H,SEA,PDX,28,129,11,20,2022-01-01T11:00:00Z,Delta Air Lines Inc.
2022,1,1,1125,1120,5,1422,1422,0,OO,925,N184SY,SEA,JAC,91,621,11,20,2022-01-01T11:00:00Z,SkyWest Airlines Inc.
2022,1,1,1126,910,136,1929,1730,119,AS,223,N926VA,SEA,JFK,272,2422,9,10,2022-01-01T09:00:00Z,Alaska Airlines Inc.
2022,1,1,1134,1134,0,1300,1236,24,OO,991,N267SY,SEA,PSC,38,172,11,34,2022-01-01T11:00:00Z,SkyWest Airlines Inc.
2022,1,1,1134,1135,-1,1404,1419,-15,DL,480,N774DE,SEA,SAN,129,1050,11,35,2022-01-01T11:00:00Z,Delta Air Lines Inc.
2022,1,1,1134,950,104,1246,1118,88,QX,744,N437QX,SEA,MFR,59,352,9,50,2022-01-01T09:00:00Z,Horizon Air
2022,1,1,1134,1135,-1,1714,1720,-6,AS,143,N267AK,SEA,MKE,205,1694,11,35,2022-01-01T11:00:00Z,Alaska Airlines Inc.
2022,1,1,1134,1125,9,1429,1428,1,AS,352,N364VA,SEA,SLC,89,689,11,25,2022-01-01T11:00:00Z,Alaska Airlines Inc.
